comb,f1-0,f1-1,f1-2,f1-2,macro f1,micro f1
30_15_4,0.7405489385911024,0.7568258056728152,0.49794903792704504,0.5401118702065821,0.6338589130993861,0.7518647828321282
10_5_1,0.7112216987511695,0.7392083146322354,0.4941269068175304,0.4634349632522226,0.6019979708632895,0.7268369470482665
5_3_2,0.7000798610786642,0.7254081455053895,0.4520472190138616,0.45518459827103463,0.5831799559672375,0.7148800273282437
60_30_8,0.7481898894859236,0.7794807523491691,0.5382357135115812,0.5298897454564803,0.6489490252007886,0.762322048211423
60_90_0,0.7401257989298977,0.7616974003837068,0.42946601214510444,0.5343119896086711,0.616400300266845,0.7470907475112735
5_5_4,0.7085011475279849,0.7239492222937389,0.47063577024078096,0.5030228416638478,0.6015272454315881,0.7233320632815019
30_45_23,0.7379084516203939,0.7522156926786651,0.4727290124429769,0.5414703245606017,0.6260808703256594,0.7520708980783539
5_5_0,0.7052766212354158,0.7306392467608518,0.503067569117211,0.4734324402569227,0.6031039693426004,0.7233890590928602
30_30_8,0.7435777559585532,0.7537585777840853,0.5137004875579052,0.5344090952259067,0.6363614791316126,0.7536693011228465
60_90_68,0.7478469773038675,0.7605995593234669,0.5296850838674296,0.5671744645715061,0.6513265212665675,0.7634628943149095
50_100_75,0.7477509312758724,0.7735929938761988,0.5281028033216455,0.5478624305462318,0.6493272897549871,0.7658814396777334
30_30_15,0.7461552348921306,0.7660462327436003,0.5092377042610771,0.5729169525802918,0.648589031119275,0.7593689686477676
60_120_90,0.7438140247721484,0.7527250829496648,0.5379043022526598,0.5714180108458362,0.6514653552050773,0.75998828416288
10_10_8,0.7262916849063237,0.7423796205262418,0.5179345135043396,0.5571535741664144,0.6359398482758299,0.7448462466486442
10_20_0,0.710573693157396,0.7474123412596367,0.4753034032299197,0.493386900248198,0.6066690844737875,0.7341487302201416
30_15_0,0.7406243533831124,0.7584958994065694,0.5133476512311348,0.5230988034648641,0.6338916768714202,0.7512144263627971
60_30_23,0.7403863576271684,0.7732889746606194,0.566858306067262,0.5752921521926342,0.663956447636921,0.7628070213076769
50_25_0,0.7297338338341322,0.7611270175924948,0.5193272574508074,0.5507200719463916,0.6402270452059565,0.7513315686779646
50_25_6,0.7446279310198896,0.7654480438119813,0.5474775597556107,0.5707094518247238,0.6570657466030513,0.7599535556791074
30_45_0,0.737637862259305,0.7418013398750317,0.4426564647712332,0.4914402094460285,0.6033839690878997,0.7406729911155719
5_10_8,0.7255364581342411,0.7313377679400823,0.5240067196394572,0.5508372387842314,0.632929546124503,0.7417483266765885
30_15_11,0.7414750555109857,0.7623630832011614,0.5396707063395713,0.552010519649498,0.648879841175304,0.7576321694770234
30_60_30,0.7582696745335179,0.7735346331289377,0.521068465423952,0.5764018627244518,0.6573186589527148,0.7679875053661074
10_5_0,0.7122224848959636,0.7445307942062585,0.4817702069476255,0.47619928152966984,0.6036806918948794,0.7294500780073444
60_60_15,0.7574868389072942,0.7657205289706339,0.5309384940605629,0.580206836083168,0.6585881745054147,0.7671963435265567
10_10_0,0.7045451328208628,0.7361950991773218,0.45469188375569153,0.5278361609258085,0.6058170691699213,0.7286528023246037
50_100_50,0.7401760819552504,0.7458136110653402,0.5039220226683757,0.571328299563427,0.6403100038130982,0.7516320738540239
30_60_15,0.7448854710407429,0.7624167345728354,0.5043309637888083,0.5575832838127697,0.6423041133037891,0.7564311562401327
60_60_0,0.7392036347774622,0.7501925260251109,0.5128738803991562,0.5292667372279282,0.6328841946074143,0.750181950509401
10_20_5,0.7135243312145405,0.732785973225291,0.4947189701524206,0.492689197924762,0.6084296181292534,0.7326186239054768
5_10_0,0.7105257053982544,0.7279131852242982,0.5286094271132427,0.5365742501035388,0.6259056419598334,0.7278587141299548
50_75_19,0.743600545379056,0.7530164011077094,0.48853830525726516,0.5122384442795445,0.6243484240058937,0.7487476683234066
10_15_11,0.7301045253383376,0.7447054166992624,0.5137131978192189,0.5535284470613552,0.6355128967295436,0.7481346736799909
5_3_0,0.7017340375882555,0.722056149822796,0.45678415446173204,0.45600786949224115,0.5841455528412562,0.7143011527209131
30_45_11,0.7389023492736918,0.7508233170636155,0.4735906659575683,0.5800347593048524,0.635837772899932,0.7533258231656198
60_120_0,0.7431484003251466,0.7482642180530767,0.5085371450917436,0.5135336980698508,0.6283708653849545,0.7466384926700854
10_20_10,0.7219188382435618,0.7499558410858767,0.48930862908993006,0.5226813890720697,0.6209661743728596,0.7429188252383754
5_10_3,0.7169587317132345,0.7360761866895768,0.4364964560869363,0.5078175410189247,0.599337228877168,0.7308789518668357
10_15_0,0.7145894418979221,0.7375740203190326,0.4672188433107973,0.5450398859754351,0.6161055478757967,0.7348484265234299
10_15_4,0.7223938419025708,0.7547183703985378,0.48952486876461065,0.493410799426178,0.6150119701229744,0.7406193501868816
