{'params':{'epochs':100,'batches':32,'dropout':0.5,'neurons':150, 'sampling_rate':50, 'window_size':1, 'window_overlap':75}}
k,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8
0,0.9378559964813934, 0.8929494149303193, 0.716604286538927, 0.7572929488990512, 0.42970100908642594, 0.9362251726215078, 0.8570826302751577, 0.9190347633690205, 0.9319136843535902
-,-,-,-,-,-,-,-,-
0.939222722320969,0.9195138832861287,0.7322499320481637,0.7919446490581922,0.42617543921246775,0.9374665016329853,0.9380733741350995,0.8988235577230583,0.7306921370038182
[0.92955769,0.94888776],[0.91244549,0.92658228],[0.76652656,0.69797331],[0.75294118,0.83094812],[0.17361785,0.67873303],[0.93819334,0.93673966],[0.93810888,0.93803787],[0.8940784,0.90356872],[0.61737523,0.84400904]
0.9293705810469465,0.9133370722740244,0.7523230091833932,0.5492290252452918,0.42550877641600754,0.926616337899953,0.4009072526331551,0.9439005201863784,0.9070313744226788
[0.91652634,0.94221482],[0.90766208,0.91901206],[0.78264209,0.72200393],[0.38895756,0.70950049],[0.1732817,0.67773585],[0.92826343,0.92496925],[0.15271659,0.64909791],[0.94209446,0.94570658],[0.88095238,0.93311037]
0.8978425198382458,0.9188061111465367,0.6976446818603937,0.8523562129109412,0.42010835391969154,0.9326596081032104,0.9126825522882587,0.8024719862873517,0.81519880967456
[0.87630923,0.91937581],[0.91117866,0.92643357],[0.71145919,0.68383017],[0.8513369,0.85337553],[0.15968457,0.68053213],[0.93328038,0.93203883],[0.9164376,0.9089275],[0.78080357,0.8241404],[0.74832215,0.88207547]
0.90592657811929,0.9157763684555895,0.7785574996094827,0.7911633874798245,0.4347541322289322,0.9290577059654244,0.6545530814258089,0.9401168736101713,0.8395312459932815
[0.88668976,0.9251634],[0.90817356,0.92337917],[0.79984271,0.75727229],[0.74807628,0.8342505],[0.18244237,0.68706589],[0.9288871,0.92922831],[0.57314329,0.73596288],[0.9381295,0.94210425],[0.78730159,0.8917609]
k,macro,macro_0,macro_1
0,0.819851,0.784399,0.855303
1,0.8147578473634383,0.75572681,0.87378888
2,0.7498026610342032,0.67478851,0.82481681
3,0.8055300928921322,0.76542358,0.8456366
4,0.7988263192097561,0.75029846,0.84735418
