comb,f1-0,f1-1,f1-2,f1-3,macro f1,micro f1
30_15_4,0.7115126620406227,0.7853011453242054,0.4134823762896158,0.40361935322629167,0.5784788842201839,0.7275814801908701
10_5_1,0.7168277502535063,0.7867264046228679,0.4041656345458401,0.3765539360403785,0.5710684313656481,0.7299149650497865
5_3_2,0.6882119538445732,0.7773659625410398,0.3917825270160537,0.3726127851297484,0.5574933071328538,0.7081914321920553
60_30_8,0.7382009014555984,0.7805727729913688,0.4270755163038537,0.41032971109165506,0.589044725460619,0.7400482116554687
60_90_0,0.7137764254315142,0.7443546022397622,0.4457283436426302,0.43386188873698084,0.5844303150127219,0.7250769246761216
5_5_4,0.7116323865351625,0.7886889002491035,0.4610184001812101,0.42834382695109696,0.5974208784791433,0.7328545430254993
30_45_23,0.7147950687345086,0.7404429643459348,0.4446068409300418,0.4557611450184257,0.5889015047572277,0.7224333166176571
5_5_0,0.7101975457606999,0.7669679188155004,0.42156633511012936,0.4159402507069284,0.5786680125983145,0.7221271748219864
30_30_8,0.7138101698339935,0.7617169133397962,0.43550599074319424,0.4500299976338431,0.5902657678877069,0.7296118566202277
60_90_68,0.7227602725272128,0.7635955602486999,0.4891134210074078,0.4754692314314095,0.6127346213036825,0.7394183116724786
50_100_75,0.7370816751770577,0.7760782570541623,0.4442059443584367,0.4865966834460144,0.6109906400089178,0.747465432677816
30_30_15,0.7336450341422943,0.7790604077508396,0.45758418879732027,0.4492945590331174,0.6048960474308928,0.7439604061541022
60_120_90,0.732973033753148,0.7661087919297987,0.49493909724359636,0.5050238950109612,0.6247612044843761,0.7471201425098937
10_10_8,0.723398087700297,0.7900798415900337,0.477707265324802,0.45187994041417995,0.6107662837573282,0.7437320922523192
10_20_0,0.7057001407228521,0.7243257018020108,0.3868312929706652,0.44018083469081654,0.5642594925465861,0.7072553589230901
30_15_0,0.7069919903377515,0.7653251642366824,0.4271648487009944,0.38414087218415843,0.5709057188648967,0.7155318460438902
60_30_23,0.7304541514654143,0.796670805729264,0.45405091859452423,0.4288503062516704,0.6025065455102182,0.7439066177617624
50_25_0,0.7354857911822795,0.7857093088863357,0.3730743752319677,0.40448717088376984,0.5746891615460883,0.7360755105743222
50_25_6,0.7247114372758096,0.7564401698259675,0.4121185672727139,0.38033314102169,0.5684008288490452,0.720943977421763
30_45_0,0.7106125177841901,0.7263566458375832,0.4620863787513713,0.40981181208481426,0.5772168386144898,0.7166639961778566
5_10_8,0.7153634492019755,0.7548831073167874,0.4563311824328624,0.5054969234181365,0.6080186655924404,0.7285183197346554
30_15_11,0.7338805947674092,0.7931948320999087,0.46702896856038556,0.4335767590042974,0.6069202886080002,0.7454345431548327
30_60_30,0.7175081669794392,0.7513173895736124,0.44720164559611253,0.49537673705786045,0.6028509848017561,0.7334475059290362
10_5_0,0.7060547164241996,0.7870768442123729,0.3788266506653456,0.39956910886456326,0.5678818300416203,0.7237070965711757
60_60_15,0.7355353759210002,0.7636798660411266,0.4852782707165806,0.44067229265430385,0.6062914513332527,0.7403146023914084
10_10_0,0.7214273156336796,0.7606963196231047,0.44513280896588814,0.39021199470318463,0.5793671097314642,0.7242035765407319
50_100_50,0.7338963407243124,0.7621217477811669,0.4905393291374824,0.4733287351550594,0.6149715381995053,0.7443334780371236
30_60_15,0.7200907342916125,0.7429325780944382,0.46622868334143075,0.4662299514715004,0.5988704867997454,0.7297899166752906
60_60_0,0.719716301724131,0.7631854084334684,0.4601550888862833,0.3938089838911157,0.5842164457337496,0.7326777317939359
10_20_5,0.6989555803414578,0.7385996302800757,0.44029597333563353,0.46803528798438016,0.5864716179853868,0.7199517826533106
5_10_0,0.6941803876591549,0.7136161104020164,0.4371488071218463,0.43494827020251026,0.5699733938463819,0.7026424216494332
50_75_19,0.7104226320873805,0.761740975695627,0.4393145362942832,0.4957247011191628,0.6018007112991133,0.7326818001608845
10_15_11,0.7103367819749642,0.7732207418610554,0.45494943844651076,0.47311065529743246,0.6029044043949907,0.7321559043089395
5_3_0,0.6940649898987473,0.7637271589026098,0.3732920161154853,0.37047311155946544,0.550389319119077,0.7045988859218941
30_45_11,0.733027702333994,0.7703587349245838,0.46264920259730147,0.4660493077227512,0.6080212368946577,0.7455475907554981
60_120_0,0.7062881304916451,0.7229240956937136,0.4571013800688804,0.40163309235511263,0.571986674652338,0.7176540454382444
10_20_10,0.7187621387163635,0.7440175390778261,0.4660996816987487,0.4313514151118754,0.5900576936512034,0.7209409900866741
5_10_3,0.7096847330946064,0.7517952494237139,0.37286196707555685,0.44525561187660906,0.5698993903676216,0.7188784235409007
10_15_0,0.6907489835233283,0.7387442884375207,0.44990645237069504,0.42047211363243403,0.5749679594909946,0.7109688181808451
10_15_4,0.7000946069241923,0.7417462819731538,0.39692084988742365,0.37763726196870545,0.5540997501883688,0.7109077270469252
60_60_45,0.724351103995781,0.7663812997028283,0.48834958576487725,0.4614597959034652,0.610135446341738,0.735913056506495
30_60_0,0.6966470363754316,0.7315296699106292,0.4096220218245354,0.4026576079976704,0.5601140840270666,0.7117222863963675
10_10_5,0.7165540333809904,0.7791730814984361,0.46175817084641313,0.45970514271635715,0.6042976071105493,0.737082987953847
50_75_0,0.7020589896493183,0.7123097723645775,0.4343238464897451,0.42864541304730236,0.5693345053877359,0.7052468604160473
30_45_34,0.730596678167179,0.763057529769585,0.4774564305166958,0.48386894059150326,0.6137448947612407,0.7417092091966979
50_25_13,0.7319320142191835,0.7933897363306646,0.4188264039358225,0.4025588541961364,0.5866767521704518,0.7401171910035073
50_50_0,0.7198435528448415,0.7572373657472873,0.47424968727611216,0.3940012815744558,0.5863329718606741,0.728959946742898
10_5_3,0.6929314646869071,0.7897761633295883,0.4285057449290662,0.40158939532637866,0.5782006920679851,0.7218266599144694
30_30_22,0.7348253998001322,0.7793524179294751,0.49115973100810023,0.4741192747657721,0.61986420587587,0.7481720564637727
60_90_45,0.7190455828696168,0.7510175959087592,0.44705560890006346,0.47133140204028934,0.5971125474296821,0.7322398206068748
60_30_0,0.7323287088780566,0.7587152616537659,0.4250416719001425,0.35232993281121644,0.5671038938107953,0.724072707650052
10_5_4,0.7016707983071748,0.7870078796654139,0.44467018412061005,0.4044471586708704,0.5844490051910173,0.7258524327389885
30_15_8,0.7376234697102868,0.8001601545920477,0.449754621977639,0.41359914319548485,0.6002843473688647,0.7481815969047161
60_30_15,0.7295788099890793,0.7868112406561706,0.4186410273057687,0.3824519404903177,0.579370754610334,0.7346482885817237
60_120_60,0.7261729161328617,0.7508771640993656,0.4767402255215168,0.4407230726560912,0.5986283446024588,0.7341047571520791
50_25_19,0.7450330930844093,0.8049751825383651,0.4751987471915498,0.43475810029429357,0.6149912807771544,0.7562952595190965
5_8_0,0.7012695432333067,0.7098907136681843,0.44567563884802586,0.47157830504572384,0.5821035501988102,0.7013087289854547
5_5_1,0.7099053678422721,0.7804570617863751,0.40272565793357956,0.3874403672738275,0.5701321137090135,0.7267109589887677
50_100_0,0.7134155437166542,0.7354482688183561,0.4209846157992544,0.4121231566230379,0.5704928962393256,0.7234640085255813
10_15_8,0.7003284682263586,0.7661388274450519,0.43663260437758816,0.4574019376577774,0.590125459426694,0.7219314874661483
50_50_13,0.7159730018722077,0.7707150118060576,0.4559534341190122,0.3757705505472099,0.5796029995861218,0.730893606421377
